depa	ano	culti	precio
ANTI	2015	CEBOLLA JUNCA	1151,766667
ANTI	2015	CEBOLLA PUERRO	1730
ANTI	2015	CHOCOLO MAZORCA	755,875
ANTI	2015	CIDRA	515,4833333
ANTI	2015	CILANTRO	2178,616667
ANTI	2015	CIRUELA IMPORTADA	6942,5
ANTI	2015	CIRUELA NEGRA CHILENA	6132
ANTI	2015	CIRUELA NEGRA IMPORTADA	7735
ANTI	2015	CIRUELA ROJA	2210,916667
ANTI	2015	COCO	3393,166667
ANTI	2015	COLES	757,2083333
ANTI	2015	COLIFLOR	1236,916667
ANTI	2015	CURUBA	1008,583333
ANTI	2015	DURAZNO IMPORTADO	5988,875
ANTI	2015	DURAZNO NACIONAL	3823,666667
ANTI	2015	ESPINACA	828,6111111
ANTI	2015	FRESA	4369,083333
ANTI	2015	FRIJOL CARGAMANTO BLANCO	7208,552941
ANTI	2015	FRIJOL CARGAMANTO ROJO	6829,27027
ANTI	2015	FRIJOL ENLATADO	6428,666667
ANTI	2015	FRIJOL NIMA CALIMA	5130,333333
ANTI	2015	FRIJOL RADICAL	5267,25
ANTI	2015	FRIJOL URIBE ROSADO	5123,818182
ANTI	2015	FRIJOL VERDE CARGAMANTO	2113,65
ANTI	2015	GARBANZO IMPORTADO	3502,269231
ANTI	2015	GRANADILLA	2792,958333
ANTI	2015	GUANABANA	1861,708333
ANTI	2015	GUAYABA MANZANA	1951,333333
ANTI	2015	GUAYABA PERA	1227,083333
ANTI	2015	GULUPA	1045,529412
ANTI	2015	HABICHUELA	1378,428571
ANTI	2015	HIGO	2344,125
ANTI	2015	KIWI	4652,416667
ANTI	2015	LECHUGA BATAVIA	667,7619048
ANTI	2015	LECHUGA CRESPA MORADA	1223,333333
ANTI	2015	LECHUGA CRESPA VERDE	1128,75
ANTI	2015	LENTEJA IMPORTADA	3390
ANTI	2015	LIMON COMUN	1382,055556
ANTI	2015	LIMON MANDARINO	633,2
ANTI	2015	LIMON TAHITI	1341,6875
ANTI	2015	LULO	1769,75
ANTI	2015	MAIZ AMARILLO CASCARA	1085,894737
ANTI	2015	MAIZ AMARILLO CASCARA IMPORTADO	906,1666667
ANTI	2015	MAIZ AMARILLO TRILLADO	1368,769231
ANTI	2015	MAIZ BLANCO CASCARA	1336,818182
ANTI	2015	MAIZ BLANCO TRILLADO	1381,576923
ANTI	2015	MAIZ ENLATADO	7481
ANTI	2015	MAIZ PIRA	2568,192308
ANTI	2015	MANDARINA COMUN	659,2142857
ANTI	2015	MANDARINA ONECO	1480,090909
ANTI	2015	MANGO COMUN	1154,828571
ANTI	2015	MANGO COSTENO	854,4
ANTI	2015	MANGO DE AZUCAR	1422,933333
ANTI	2015	MANGO MANZANO	1358,272727
ANTI	2015	MANGO TOMMY	2358,395833
ANTI	2015	MANGO YULIMA	1529
ANTI	2015	MANZANA NACIONAL	3330,583333
ANTI	2015	MANZANA ROJA IMPORTADA	3842,222222
ANTI	2015	MANZANA ROYAL GALA IMPORTADA	3907,944444
ANTI	2015	MANZANA VERDE IMPORTADA	4213,777778
ANTI	2015	MARACUYA	1615,118644
ANTI	2015	MARACUYA ANTIOQUENO	1567,083333
ANTI	2015	MARACUYA HUILENSE	1450
ANTI	2015	MARACUYA VALLUNO	2161,75
ANTI	2015	MELON CANTALUP	1809,25
ANTI	2015	MORA DE CASTILLA	2025,902778
ANTI	2015	NARANJA COMUN	386,9230769
